ONET_SOC_CODE,ELEMENT_ID,ELEMENT_NAME,SCALE_ID,CATEGORY,DATA_VALUE,N,STANDARD_ERROR,LOWER_CI_BOUND,UPPER_CI_BOUND,RECOMMEND_SUPPRESS,DATE,DOMAIN_SOURCE
11-1011.00,2.D.1,Required Level of Education,RL,1.0,0.0,28,0.0,,,N,08/2023,Incumbent
11-1011.00,2.D.1,Required Level of Education,RL,2.0,4.46,28,4.1428,0.6307,25.5524,N,08/2023,Incumbent
11-1011.00,2.D.1,Required Level of Education,RL,3.0,0.0,28,0.0,,,N,08/2023,Incumbent
11-1011.00,2.D.1,Required Level of Education,RL,4.0,0.0,28,0.0,,,N,08/2023,Incumbent
11-1011.00,2.D.1,Required Level of Education,RL,5.0,5.15,28,5.2236,0.6,32.7756,N,08/2023,Incumbent
11-1011.00,2.D.1,Required Level of Education,RL,6.0,32.29,28,12.7266,12.6247,61.1586,N,08/2023,Incumbent
11-1011.00,2.D.1,Required Level of Education,RL,7.0,0.0,28,0.0,,,N,08/2023,Incumbent
11-1011.00,2.D.1,Required Level of Education,RL,8.0,45.91,28,16.648,17.6593,77.057,N,08/2023,Incumbent
11-1011.00,2.D.1,Required Level of Education,RL,9.0,3.94,28,4.0634,0.4511,27.0734,N,08/2023,Incumbent
11-1011.00,2.D.1,Required Level of Education,RL,10.0,0.55,28,0.5831,0.0637,4.6529,N,08/2023,Incumbent
11-1011.00,2.D.1,Required Level of Education,RL,11.0,4.92,28,4.7695,0.6342,29.5426,N,08/2023,Incumbent
11-1011.00,2.D.1,Required Level of Education,RL,12.0,2.78,28,2.7428,0.3548,18.6644,N,08/2023,Incumbent
11-1011.00,2.D.4.a,Job-Related Professional Certification,IM,,3.01,28,0.2773,2.4454,3.5834,N,08/2023,Incumbent
11-1011.00,3.A.1,Related Work Experience,RW,1.0,0.0,28,0.0,,,N,08/2023,Incumbent
11-1011.00,3.A.1,Related Work Experience,RW,2.0,0.0,28,0.0,,,N,08/2023,Incumbent
11-1011.00,3.A.1,Related Work Experience,RW,3.0,0.0,28,0.0,,,N,08/2023,Incumbent
11-1011.00,3.A.1,Related Work Experience,RW,4.0,0.0,28,0.0,,,N,08/2023,Incumbent
11-1011.00,3.A.1,Related Work Experience,RW,5.0,0.0,28,0.0,,,N,08/2023,Incumbent
11-1011.00,3.A.1,Related Work Experience,RW,6.0,0.0,28,0.0,,,N,08/2023,Incumbent
11-1011.00,3.A.1,Related Work Experience,RW,7.0,9.69,28,6.3839,2.343,32.4046,N,08/2023,Incumbent
11-1011.00,3.A.1,Related Work Experience,RW,8.0,5.87,28,5.3299,0.8563,31.0831,N,08/2023,Incumbent
11-1011.00,3.A.1,Related Work Experience,RW,9.0,15.09,28,7.8957,4.7774,38.623,N,08/2023,Incumbent
11-1011.00,3.A.1,Related Work Experience,RW,10.0,1.11,28,0.8635,0.2226,5.3397,N,08/2023,Incumbent
11-1011.00,3.A.1,Related Work Experience,RW,11.0,68.24,28,11.8645,41.1361,86.8556,N,08/2023,Incumbent
11-1011.00,3.A.2,On-Site or In-Plant Training,PT,1.0,10.22,28,5.9266,2.9333,29.9919,N,08/2023,Incumbent
11-1011.00,3.A.2,On-Site or In-Plant Training,PT,2.0,3.82,28,3.2307,0.649,19.4416,N,08/2023,Incumbent
11-1011.00,3.A.2,On-Site or In-Plant Training,PT,3.0,5.15,28,5.2236,0.6,32.7756,N,08/2023,Incumbent
11-1011.00,3.A.2,On-Site or In-Plant Training,PT,4.0,6.66,28,5.6415,1.0945,31.482,N,08/2023,Incumbent
11-1011.00,3.A.2,On-Site or In-Plant Training,PT,5.0,16.79,28,9.5074,4.7552,44.9103,N,08/2023,Incumbent
11-1011.00,3.A.2,On-Site or In-Plant Training,PT,6.0,0.52,28,0.5467,0.0594,4.3785,N,08/2023,Incumbent
11-1011.00,3.A.2,On-Site or In-Plant Training,PT,7.0,6.62,28,5.4201,1.1603,29.9909,N,08/2023,Incumbent
11-1011.00,3.A.2,On-Site or In-Plant Training,PT,8.0,15.92,28,9.0158,4.5374,42.9918,N,08/2023,Incumbent
11-1011.00,3.A.2,On-Site or In-Plant Training,PT,9.0,34.32,28,19.3096,8.2639,75.1852,Y,08/2023,Incumbent
11-1011.00,3.A.3,On-the-Job Training,OJ,1.0,4.57,27,3.2099,1.0455,17.8546,N,08/2023,Incumbent
11-1011.00,3.A.3,On-the-Job Training,OJ,2.0,8.5,27,5.9928,1.8698,31.1658,N,08/2023,Incumbent
11-1011.00,3.A.3,On-the-Job Training,OJ,3.0,5.31,27,5.3962,0.6139,33.7379,N,08/2023,Incumbent
11-1011.00,3.A.3,On-the-Job Training,OJ,4.0,13.38,27,9.2844,2.8931,44.4923,N,08/2023,Incumbent
11-1011.00,3.A.3,On-the-Job Training,OJ,5.0,9.67,27,5.6173,2.7775,28.6472,N,08/2023,Incumbent
11-1011.00,3.A.3,On-the-Job Training,OJ,6.0,4.6,27,4.2836,0.6447,26.3896,N,08/2023,Incumbent
11-1011.00,3.A.3,On-the-Job Training,OJ,7.0,6.68,27,5.587,1.12,31.1239,N,08/2023,Incumbent
11-1011.00,3.A.3,On-the-Job Training,OJ,8.0,12.03,27,8.7135,2.4541,42.6272,N,08/2023,Incumbent
11-1011.00,3.A.3,On-the-Job Training,OJ,9.0,35.25,27,19.6375,8.4995,76.143,Y,08/2023,Incumbent
11-1011.00,3.A.4.a,Apprenticeship,IM,,2.2,27,0.3437,1.4926,2.9055,N,08/2023,Incumbent
11-1011.03,2.D.1,Required Level of Education,RL,1.0,0.0,27,,,,,08/2021,Occupational Expert
11-1011.03,2.D.1,Required Level of Education,RL,2.0,0.0,27,,,,,08/2021,Occupational Expert
11-1011.03,2.D.1,Required Level of Education,RL,3.0,0.0,27,,,,,08/2021,Occupational Expert
11-1011.03,2.D.1,Required Level of Education,RL,4.0,0.0,27,,,,,08/2021,Occupational Expert
11-1011.03,2.D.1,Required Level of Education,RL,5.0,0.0,27,,,,,08/2021,Occupational Expert
11-1011.03,2.D.1,Required Level of Education,RL,6.0,18.52,27,,,,,08/2021,Occupational Expert
11-1011.03,2.D.1,Required Level of Education,RL,7.0,0.0,27,,,,,08/2021,Occupational Expert
11-1011.03,2.D.1,Required Level of Education,RL,8.0,74.07,27,,,,,08/2021,Occupational Expert
11-1011.03,2.D.1,Required Level of Education,RL,9.0,7.41,27,,,,,08/2021,Occupational Expert
11-1011.03,2.D.1,Required Level of Education,RL,10.0,0.0,27,,,,,08/2021,Occupational Expert
11-1011.03,2.D.1,Required Level of Education,RL,11.0,0.0,27,,,,,08/2021,Occupational Expert
11-1011.03,2.D.1,Required Level of Education,RL,12.0,0.0,27,,,,,08/2021,Occupational Expert
11-1011.03,2.D.4.a,Job-Related Professional Certification,IM,,2.7,27,,,,,08/2021,Occupational Expert
11-1011.03,3.A.1,Related Work Experience,RW,1.0,0.0,27,,,,,08/2021,Occupational Expert
11-1011.03,3.A.1,Related Work Experience,RW,2.0,0.0,27,,,,,08/2021,Occupational Expert
11-1011.03,3.A.1,Related Work Experience,RW,3.0,0.0,27,,,,,08/2021,Occupational Expert
11-1011.03,3.A.1,Related Work Experience,RW,4.0,0.0,27,,,,,08/2021,Occupational Expert
11-1011.03,3.A.1,Related Work Experience,RW,5.0,0.0,27,,,,,08/2021,Occupational Expert
11-1011.03,3.A.1,Related Work Experience,RW,6.0,3.7,27,,,,,08/2021,Occupational Expert
11-1011.03,3.A.1,Related Work Experience,RW,7.0,11.11,27,,,,,08/2021,Occupational Expert
11-1011.03,3.A.1,Related Work Experience,RW,8.0,40.74,27,,,,,08/2021,Occupational Expert
11-1011.03,3.A.1,Related Work Experience,RW,9.0,18.52,27,,,,,08/2021,Occupational Expert
11-1011.03,3.A.1,Related Work Experience,RW,10.0,11.11,27,,,,,08/2021,Occupational Expert
11-1011.03,3.A.1,Related Work Experience,RW,11.0,14.81,27,,,,,08/2021,Occupational Expert
11-1011.03,3.A.2,On-Site or In-Plant Training,PT,1.0,40.74,27,,,,,08/2021,Occupational Expert
11-1011.03,3.A.2,On-Site or In-Plant Training,PT,2.0,22.22,27,,,,,08/2021,Occupational Expert
11-1011.03,3.A.2,On-Site or In-Plant Training,PT,3.0,7.41,27,,,,,08/2021,Occupational Expert
11-1011.03,3.A.2,On-Site or In-Plant Training,PT,4.0,7.41,27,,,,,08/2021,Occupational Expert
11-1011.03,3.A.2,On-Site or In-Plant Training,PT,5.0,7.41,27,,,,,08/2021,Occupational Expert
11-1011.03,3.A.2,On-Site or In-Plant Training,PT,6.0,0.0,27,,,,,08/2021,Occupational Expert
11-1011.03,3.A.2,On-Site or In-Plant Training,PT,7.0,7.41,27,,,,,08/2021,Occupational Expert
11-1011.03,3.A.2,On-Site or In-Plant Training,PT,8.0,0.0,27,,,,,08/2021,Occupational Expert
11-1011.03,3.A.2,On-Site or In-Plant Training,PT,9.0,7.41,27,,,,,08/2021,Occupational Expert
11-1011.03,3.A.3,On-the-Job Training,OJ,1.0,25.93,27,,,,,08/2021,Occupational Expert
11-1011.03,3.A.3,On-the-Job Training,OJ,2.0,18.52,27,,,,,08/2021,Occupational Expert
11-1011.03,3.A.3,On-the-Job Training,OJ,3.0,11.11,27,,,,,08/2021,Occupational Expert
11-1011.03,3.A.3,On-the-Job Training,OJ,4.0,22.22,27,,,,,08/2021,Occupational Expert
11-1011.03,3.A.3,On-the-Job Training,OJ,5.0,7.41,27,,,,,08/2021,Occupational Expert
11-1011.03,3.A.3,On-the-Job Training,OJ,6.0,7.41,27,,,,,08/2021,Occupational Expert
11-1011.03,3.A.3,On-the-Job Training,OJ,7.0,0.0,27,,,,,08/2021,Occupational Expert
11-1011.03,3.A.3,On-the-Job Training,OJ,8.0,3.7,27,,,,,08/2021,Occupational Expert
11-1011.03,3.A.3,On-the-Job Training,OJ,9.0,3.7,27,,,,,08/2021,Occupational Expert
11-1011.03,3.A.4.a,Apprenticeship,IM,,1.81,27,,,,,08/2021,Occupational Expert
11-1021.00,2.D.1,Required Level of Education,RL,1.0,10.35,28,7.6848,2.0646,38.7124,N,08/2023,Incumbent
11-1021.00,2.D.1,Required Level of Education,RL,2.0,28.76,28,11.391,11.4276,55.8159,N,08/2023,Incumbent
11-1021.00,2.D.1,Required Level of Education,RL,3.0,5.72,28,5.698,0.6906,34.6394,N,08/2023,Incumbent
11-1021.00,2.D.1,Required Level of Education,RL,4.0,21.59,28,11.0866,6.7027,51.3506,N,08/2023,Incumbent
11-1021.00,2.D.1,Required Level of Education,RL,5.0,5.99,28,5.8141,0.7609,34.6341,N,08/2023,Incumbent
11-1021.00,2.D.1,Required Level of Education,RL,6.0,27.3,28,10.5201,11.2316,52.6984,N,08/2023,Incumbent
11-1021.00,2.D.1,Required Level of Education,RL,7.0,0.14,28,0.138,0.0167,1.0888,N,08/2023,Incumbent
11-1021.00,2.D.1,Required Level of Education,RL,8.0,0.15,28,0.1576,0.0191,1.2422,N,08/2023,Incumbent
11-1021.00,2.D.1,Required Level of Education,RL,9.0,0.0,28,0.0,,,N,08/2023,Incumbent
11-1021.00,2.D.1,Required Level of Education,RL,10.0,0.0,28,0.0,,,N,08/2023,Incumbent
11-1021.00,2.D.1,Required Level of Education,RL,11.0,0.0,28,0.0,,,N,08/2023,Incumbent
11-1021.00,2.D.1,Required Level of Education,RL,12.0,0.0,28,0.0,,,N,08/2023,Incumbent
11-1021.00,2.D.4.a,Job-Related Professional Certification,IM,,1.88,28,0.2508,1.3704,2.3996,N,08/2023,Incumbent
11-1021.00,3.A.1,Related Work Experience,RW,1.0,10.35,28,7.6848,2.0646,38.7124,N,08/2023,Incumbent
11-1021.00,3.A.1,Related Work Experience,RW,2.0,1.5,28,1.5086,0.1872,11.0086,N,08/2023,Incumbent
11-1021.00,3.A.1,Related Work Experience,RW,3.0,0.22,28,0.2188,0.0266,1.7166,N,08/2023,Incumbent
11-1021.00,3.A.1,Related Work Experience,RW,4.0,2.03,28,2.046,0.2502,14.61,N,08/2023,Incumbent
11-1021.00,3.A.1,Related Work Experience,RW,5.0,15.26,28,7.9256,4.8711,38.7749,N,08/2023,Incumbent
11-1021.00,3.A.1,Related Work Experience,RW,6.0,3.66,28,2.684,0.7893,15.3387,N,08/2023,Incumbent
11-1021.00,3.A.1,Related Work Experience,RW,7.0,18.97,28,8.6803,6.8471,42.721,N,08/2023,Incumbent
11-1021.00,3.A.1,Related Work Experience,RW,8.0,24.23,28,10.8936,8.6443,51.9317,N,08/2023,Incumbent
11-1021.00,3.A.1,Related Work Experience,RW,9.0,5.72,28,5.698,0.6906,34.6394,N,08/2023,Incumbent
11-1021.00,3.A.1,Related Work Experience,RW,10.0,0.14,28,0.138,0.0167,1.0888,N,08/2023,Incumbent
11-1021.00,3.A.1,Related Work Experience,RW,11.0,17.93,28,9.3027,5.6373,44.4253,N,08/2023,Incumbent
11-1021.00,3.A.2,On-Site or In-Plant Training,PT,1.0,10.96,28,7.6113,2.4224,37.885,N,08/2023,Incumbent
11-1021.00,3.A.2,On-Site or In-Plant Training,PT,2.0,8.14,28,7.4393,1.138,40.5598,N,08/2023,Incumbent
11-1021.00,3.A.2,On-Site or In-Plant Training,PT,3.0,18.09,28,10.127,5.1511,47.3032,N,08/2023,Incumbent
11-1021.00,3.A.2,On-Site or In-Plant Training,PT,4.0,0.35,28,0.2629,0.075,1.6211,N,08/2023,Incumbent
11-1021.00,3.A.2,On-Site or In-Plant Training,PT,5.0,18.11,28,9.0523,5.9424,43.6214,N,08/2023,Incumbent
11-1021.00,3.A.2,On-Site or In-Plant Training,PT,6.0,15.09,28,9.6322,3.6642,45.3852,N,08/2023,Incumbent
11-1021.00,3.A.2,On-Site or In-Plant Training,PT,7.0,25.62,28,11.8118,8.8083,55.1339,N,08/2023,Incumbent
11-1021.00,3.A.2,On-Site or In-Plant Training,PT,8.0,3.47,28,3.451,0.4318,22.9446,N,08/2023,Incumbent
11-1021.00,3.A.2,On-Site or In-Plant Training,PT,9.0,0.17,28,0.1592,0.0255,1.145,N,08/2023,Incumbent
11-1021.00,3.A.3,On-the-Job Training,OJ,1.0,3.47,28,3.4192,0.4402,22.6022,N,08/2023,Incumbent
11-1021.00,3.A.3,On-the-Job Training,OJ,2.0,14.53,28,8.7609,3.8459,41.9585,N,08/2023,Incumbent
11-1021.00,3.A.3,On-the-Job Training,OJ,3.0,16.13,28,9.8235,4.1568,46.0417,N,08/2023,Incumbent
11-1021.00,3.A.3,On-the-Job Training,OJ,4.0,10.54,28,7.6843,2.1656,38.5448,N,08/2023,Incumbent
11-1021.00,3.A.3,On-the-Job Training,OJ,5.0,11.56,28,7.2557,2.9574,35.9256,N,08/2023,Incumbent
11-1021.00,3.A.3,On-the-Job Training,OJ,6.0,8.3,28,7.961,1.0479,43.6278,N,08/2023,Incumbent
