DWA_ID,DWA_TITLE,CLASSIFICATION,EXPLANATION
4.A.1.a.1.I01.D01,Review art or design materials.,REMOTE,This task can be performed from any location using digital tools to view and assess art or design materials.
4.A.1.a.1.I01.D02,Study details of musical compositions.,REMOTE,This task can be performed from any location using digital tools to access and analyze musical compositions.
4.A.1.a.1.I01.D03,Review production information to determine costume or makeup requirements.,REMOTE,"This task can be performed from any location as it involves reviewing information, which can be done using digital tools and online systems without the need for physical presence."
4.A.1.a.1.I01.D04,Study scripts to determine project requirements.,REMOTE,"This task can be performed from any location as it involves reviewing and analyzing scripts, which can be done using digital tools and does not require physical presence."
4.A.1.a.1.I01.D05,Review audio or video recordings.,REMOTE,This task can be performed from any location using digital tools and online systems without requiring physical presence.
4.A.1.a.1.I02.D01,Read materials to determine needed actions.,REMOTE,"This task can be performed from any location as it involves reading materials, which can be accessed digitally without requiring physical presence."
4.A.1.a.1.I02.D02,Read maps to determine routes.,NON-REMOTE,This task typically requires physical presence to interact with physical maps or navigation equipment that may not be easily accessible or replicable remotely.
4.A.1.a.1.I02.D03,Review customer information.,REMOTE,"Reviewing customer information can typically be done from any location using digital tools and online systems, without the need for physical presence."
4.A.1.a.1.I02.D04,Read work orders or other instructions to determine product specifications or materials requirements.,REMOTE,"This task involves reading and interpreting documents, which can be done from any location using digital tools or online systems."
4.A.1.a.1.I02.D05,Read technical information needed to perform maintenance or repairs.,REMOTE,"This task involves accessing and reading information, which can be done from any location using digital tools or online systems."
4.A.1.a.1.I02.D06,Study blueprints or other instructions to determine equipment setup requirements.,REMOTE,"This task involves reviewing documents and instructions, which can be done digitally without the need for physical presence."
4.A.1.a.1.I02.D07,Read documents to gather technical information.,REMOTE,"This task can be performed from any location as it involves accessing and reading documents, which can be done digitally without the need for physical presence."
4.A.1.a.1.I02.D08,Review technical documents to plan work.,REMOTE,Reviewing technical documents can be done from any location using digital tools and does not require physical presence.
4.A.1.a.1.I02.D09,Review blueprints or specifications to determine work requirements.,REMOTE,"This task can be performed from any location as it involves analyzing documents, which can be done using digital tools and online systems without the need for physical presence."
4.A.1.a.1.I02.D10,Review work orders or schedules to determine operations or procedures.,REMOTE,This task can be performed from any location using digital tools or online systems to access and review work orders or schedules.
4.A.1.a.1.I02.D11,Review blueprints or other instructions to determine operational methods or sequences.,REMOTE,"This task can be performed from any location as it involves reviewing documents, which can be done digitally without the need for physical presence."
4.A.1.a.1.I02.D12,Evaluate reports or designs to determine work needs.,REMOTE,This task can be performed from any location using digital tools to access and review reports or designs.
4.A.1.a.1.I02.D13,Read work orders or descriptions of problems to determine repairs or modifications needed.,REMOTE,"This task involves reading and interpreting information, which can be done from any location using digital tools or online systems."
4.A.1.a.1.I02.D14,"Interpret blueprints, specifications, or diagrams to inform installation, development or operation activities.",REMOTE,This task involves reviewing and understanding documents that can be accessed and interpreted digitally from any location without requiring physical presence.
4.A.1.a.1.I02.D15,Review details of technical drawings or specifications.,REMOTE,This task can be performed from any location using digital tools and online systems to access and review technical drawings or specifications.
4.A.1.a.1.I02.D16,Read work orders to determine material or setup requirements.,REMOTE,"This task can be performed from any location as it involves reading and interpreting information, which can be done using digital tools or online systems."
4.A.1.a.1.I03.D01,Collect evidence for legal proceedings.,NON-REMOTE,"This task often requires physical presence to gather physical evidence, interact with witnesses, or access specific locations."
4.A.1.a.1.I03.D02,Examine crime scenes to obtain evidence.,NON-REMOTE,"This task requires physical presence at the crime scene to collect and analyze evidence, which cannot be done remotely."
4.A.1.a.1.I03.D03,Investigate crimes committed within organizations.,NON-REMOTE,"This task typically requires physical presence for activities such as interviewing witnesses, collecting evidence, and accessing secure or sensitive areas within an organization."
4.A.1.a.1.I03.D04,Investigate legal issues.,REMOTE,"Investigating legal issues can typically be performed remotely using digital tools, online research databases, and remote communication with clients or colleagues."
4.A.1.a.1.I03.D05,Examine records or other types of data to investigate criminal activities.,REMOTE,This task can be performed from any location using digital tools and online systems to access and analyze records or data.
4.A.1.a.1.I03.D06,Conduct hearings to investigate legal issues.,NON-REMOTE,"Conducting hearings typically requires physical presence for legal proceedings, direct interaction with participants, and may involve specialized on-site equipment."
4.A.1.a.1.I03.D07,Investigate illegal or suspicious activities.,NON-REMOTE,"This task typically requires physical presence to gather evidence, conduct interviews, and perform on-site investigations that cannot be easily replicated remotely."
4.A.1.a.1.I04.D01,Obtain property information.,REMOTE,"This task can typically be performed from any location using online databases, digital tools, or remote communication to access property information."
4.A.1.a.1.I04.D02,Use databases to locate investigation details or other information.,REMOTE,This task can be performed from any location using digital tools and online systems to access databases.
4.A.1.a.1.I04.D03,Search information sources to find specific data.,REMOTE,This task can be performed from any location using digital tools and online systems to access information sources.
4.A.1.a.1.I04.D04,Gather financial records.,REMOTE,"Gathering financial records can typically be done from any location using digital tools and online systems, as financial records are often stored electronically and can be accessed remotely."
4.A.1.a.1.I04.D05,Retrieve information from electronic sources.,REMOTE,This task can be performed from any location using digital tools and online systems without requiring physical presence.
4.A.1.a.1.I04.D06,Gather information in order to provide services to clients.,REMOTE,"This task can be performed from any location using digital tools, online systems, or remote communications to gather information and provide services to clients."
4.A.1.a.1.I04.D07,"Search files, databases or reference materials to obtain needed information.",REMOTE,"This task can be performed from any location using digital tools and online systems to access files, databases, or reference materials."
4.A.1.a.1.I04.D08,Collect archival data.,REMOTE,"Collecting archival data can typically be done from any location using digital tools and online systems, as many archives have digital databases or can provide data remotely."
4.A.1.a.1.I05.D01,Evaluate information related to legal matters in public or personal records.,REMOTE,This task can be performed from any location using digital tools to access and evaluate information in public or personal records.
4.A.1.a.1.I05.D02,Research relevant legal materials to aid decision making.,REMOTE,"This task can be performed from any location using digital tools and online legal databases, without requiring physical presence."
4.A.1.a.1.I06.D01,Gather organizational performance information.,REMOTE,This task can be performed from any location using digital tools and online systems to access and analyze performance data.
4.A.1.a.1.I06.D02,Gather information about work conditions or locations.,REMOTE,"This task can be performed from any location using digital tools, online research, or remote communications to gather information."
4.A.1.a.1.I06.D03,Gather physical survey data.,NON-REMOTE,This task requires physical presence to collect data from a specific location using on-site equipment.
4.A.1.a.1.I06.D04,Collect data about project sites.,NON-REMOTE,Collecting data about project sites typically requires physical presence to gather accurate and firsthand information.
4.A.1.a.1.I07.D01,Obtain information about goods or services.,REMOTE,"This task can be performed from any location using digital tools, such as online research, emails, or phone calls, without requiring physical presence."
4.A.1.a.1.I08.D01,Research hydrologic features or processes.,REMOTE,"Researching hydrologic features or processes can often be conducted remotely using digital tools, online databases, and remote sensing technologies."
4.A.1.a.1.I08.D02,Research geological features or processes.,REMOTE,"Researching geological features or processes can often be done remotely using digital tools, online databases, satellite imagery, and remote sensing technologies."
4.A.1.a.1.I08.D03,Conduct climatological research.,REMOTE,"Climatological research can often be conducted remotely using digital tools, online databases, and remote sensing technologies."
4.A.1.a.1.I09.D01,Conduct surveys in organizations.,NON-REMOTE,"Conducting surveys in organizations typically requires physical presence to interact with participants, distribute materials, or observe environments directly."
4.A.1.a.1.I09.D02,Research industrial processes or operations.,REMOTE,"Researching industrial processes or operations can typically be done remotely using digital tools, online databases, and remote communications without the need for physical presence."
4.A.1.a.1.I09.D03,Conduct scientific research of organizational behavior or processes.,REMOTE,"This task can be performed from any location using digital tools, online systems, and remote communications to gather data, analyze findings, and collaborate with others."
4.A.1.a.1.I10.D01,Research impacts of environmental conservation initiatives.,REMOTE,"This task can be performed from any location using digital tools, online systems, or remote communications to gather and analyze data."
4.A.1.a.1.I10.D02,Research issues related to the environment or sustainable business practices.,REMOTE,This task can be performed from any location using digital tools and online resources to gather and analyze information.
4.A.1.a.1.I10.D03,Investigate the environmental impact of projects.,REMOTE,"This task can be performed remotely as it primarily involves research, data analysis, and communication, which can be conducted using digital tools and online systems."
4.A.1.a.1.I10.D04,Monitor environmental impacts of production or development activities.,REMOTE,This task can be performed from any location using digital tools and online systems to collect and analyze data on environmental impacts.
4.A.1.a.1.I10.D05,Research environmental impact of industrial or development activities.,REMOTE,"This task can be performed from any location using digital tools, online databases, and remote communications to gather and analyze data."
4.A.1.a.1.I10.D06,Identify environmental concerns.,REMOTE,"This task can be performed from any location using digital tools, online research, and remote communications to gather and analyze information about environmental concerns."
4.A.1.a.1.I10.D07,Evaluate environmental impact of operational or development activities.,REMOTE,"This task can be performed from any location using digital tools, data analysis software, and remote communication to assess environmental impacts."
4.A.1.a.1.I11.D01,Gather information for news stories.,REMOTE,"This task can be performed from any location using digital tools, online research, and remote communications to collect information."
4.A.1.a.1.I12.D01,Gather medical information from patient histories.,REMOTE,This task can be performed remotely by accessing digital medical records and conducting virtual consultations with patients.
4.A.1.a.1.I12.D02,"Collect medical information from patients, family members, or other medical professionals.",NON-REMOTE,"This task requires physical presence to interact directly with patients, family members, or other medical professionals to gather accurate and comprehensive medical information."
4.A.1.a.1.I12.D03,"Collect information from people through observation, interviews, or surveys.",NON-REMOTE,"This task often requires physical presence to conduct observations and interviews effectively, which may involve direct interaction with people."
4.A.1.a.1.I12.D04,Collect information about clients.,REMOTE,"This task can be performed from any location using digital tools such as online surveys, emails, or phone calls to gather client information."
4.A.1.a.1.I13.D01,Research livestock management methods.,REMOTE,"This task can be performed from any location using digital tools, online resources, and remote communications to gather and analyze information on livestock management methods."
4.A.1.a.1.I13.D02,Research crop management methods.,REMOTE,"Researching crop management methods can be done remotely using digital tools, online databases, and communication platforms to gather and analyze information."
4.A.1.a.1.I13.D03,Research sustainable agricultural processes or practices.,REMOTE,"This task can be performed from any location using digital tools, online databases, and remote communications to gather and analyze information on sustainable agricultural processes or practices."
4.A.1.a.1.I14.D01,Conduct market research.,REMOTE,"Market research can be conducted remotely using digital tools, online surveys, and data analysis software without the need for physical presence."
4.A.1.a.1.I14.D02,Gather customer or product information to determine customer needs.,REMOTE,"This task can be performed from any location using digital tools such as online surveys, emails, or virtual meetings to gather information."
4.A.1.a.1.I14.D03,Obtain personal or financial information about customers or applicants.,REMOTE,This task can be performed from any location using digital tools or online systems to gather information.
4.A.1.a.1.I14.D04,Conduct opinion surveys or needs assessments.,REMOTE,"This task can be performed from any location using digital tools such as online survey platforms, email, or phone communications, and does not require physical presence."
4.A.1.a.1.I14.D05,Collect data about customer needs.,REMOTE,"This task can be performed from any location using digital tools such as surveys, online forms, or remote interviews to gather information about customer needs."
4.A.1.a.1.I15.D01,Observe individuals' activities to gather information or compile evidence.,NON-REMOTE,"This task requires physical presence to directly observe individuals and gather information or evidence, which cannot be easily replicated remotely."
