feature,element_id,element_name,mdi_importance,permutation_importance,permutation_metric,corr_with_pred_zero_proba,direction_sign,direction_label
1.A.2.a.2,1.A.2.a.2,Manual Dexterity,0.10214854966333693,0.0017191977077363862,f1,0.8237171986766493,1,more_likely_zero (less teleworkable)
1.A.3.b.1,1.A.3.b.1,Stamina,0.0580165657079108,0.0,f1,0.8238676615403461,1,more_likely_zero (less teleworkable)
1.A.3.c.3,1.A.3.c.3,Gross Body Coordination,0.05428190526444445,0.0,f1,0.8126501591018349,1,more_likely_zero (less teleworkable)
1.A.2.b.2,1.A.2.b.2,Multilimb Coordination,0.051306683373976286,0.0008595988538681931,f1,0.8495622765251257,1,more_likely_zero (less teleworkable)
1.A.3.a.1,1.A.3.a.1,Static Strength,0.047939600355457274,0.0,f1,0.839813466912642,1,more_likely_zero (less teleworkable)
2.A.1.a,2.A.1.a,Reading Comprehension,0.037672968630734445,0.0,f1,-0.7689585427976461,-1,less_likely_zero (more teleworkable)
1.A.1.a.2,1.A.1.a.2,Written Comprehension,0.03635181792960497,0.0,f1,-0.760217373872551,-1,less_likely_zero (more teleworkable)
1.A.3.a.3,1.A.3.a.3,Dynamic Strength,0.034683813688420696,0.0,f1,0.7859993498344838,1,more_likely_zero (less teleworkable)
1.A.2.a.1,1.A.2.a.1,Arm-Hand Steadiness,0.03196302591247542,0.0,f1,0.8210252171181003,1,more_likely_zero (less teleworkable)
2.A.1.c,2.A.1.c,Writing,0.03122734014598529,0.0,f1,-0.7458141381775437,-1,less_likely_zero (more teleworkable)
4.A.3.b.1,4.A.3.b.1,Working with Computers,0.030998552330646363,0.0011527377521614035,f1,-0.6840631228129235,-1,less_likely_zero (more teleworkable)
4.A.3.a.2,4.A.3.a.2,Handling and Moving Objects,0.027852489978303092,0.0,f1,0.8027806267810501,1,more_likely_zero (less teleworkable)
4.A.3.a.3,4.A.3.a.3,Controlling Machines and Processes,0.02210564620032684,0.0,f1,0.6891206969869395,1,more_likely_zero (less teleworkable)
1.A.3.a.4,1.A.3.a.4,Trunk Strength,0.02166049739789583,0.0,f1,0.811380245450474,1,more_likely_zero (less teleworkable)
1.A.2.c.3,1.A.2.c.3,Speed of Limb Movement,0.021155457461725535,0.0,f1,0.7424427076654182,1,more_likely_zero (less teleworkable)
4.A.3.a.1,4.A.3.a.1,Performing General Physical Activities,0.020982951734967295,0.0,f1,0.8113986380486207,1,more_likely_zero (less teleworkable)
1.A.2.a.3,1.A.2.a.3,Finger Dexterity,0.01811033857054636,0.0,f1,0.7425910420329644,1,more_likely_zero (less teleworkable)
1.A.2.c.1,1.A.2.c.1,Reaction Time,0.01698110998777301,0.0,f1,0.7312093217187075,1,more_likely_zero (less teleworkable)
1.A.2.b.1,1.A.2.b.1,Control Precision,0.015137082247324822,0.0,f1,0.7471117015770962,1,more_likely_zero (less teleworkable)
1.A.2.b.3,1.A.2.b.3,Response Orientation,0.01151112961741807,0.0,f1,0.71280707755938,1,more_likely_zero (less teleworkable)
1.A.3.a.2,1.A.3.a.2,Explosive Strength,0.011357642871684767,0.0,f1,0.595298089523476,1,more_likely_zero (less teleworkable)
1.A.3.c.1,1.A.3.c.1,Extent Flexibility,0.010558944750023929,0.0,f1,0.8451595896633821,1,more_likely_zero (less teleworkable)
1.A.3.c.2,1.A.3.c.2,Dynamic Flexibility,0.008314927179142053,0.0,f1,0.4858529902118555,1,more_likely_zero (less teleworkable)
2.B.3.l,2.B.3.l,Repairing,0.008307008315984877,0.0,f1,0.5248443862889215,1,more_likely_zero (less teleworkable)
2.B.3.g,2.B.3.g,Operations Monitoring,0.008158939070918815,0.0,f1,0.5983220156397572,1,more_likely_zero (less teleworkable)
1.A.1.a.4,1.A.1.a.4,Written Expression,0.00797675421966127,0.0,f1,-0.7616680334397156,-1,less_likely_zero (more teleworkable)
4.A.3.b.5,4.A.3.b.5,Repairing and Maintaining Electronic Equipment,0.007551077819863322,0.0,f1,0.5186794291556849,1,more_likely_zero (less teleworkable)
1.A.1.b.5,1.A.1.b.5,Inductive Reasoning,0.007497300354427108,0.0,f1,-0.58240533518569,-1,less_likely_zero (more teleworkable)
4.A.2.b.2,4.A.2.b.2,Thinking Creatively,0.007201772573956634,0.0,f1,-0.4287677623008808,-1,less_likely_zero (more teleworkable)
4.A.2.a.4,4.A.2.a.4,Analyzing Data or Information,0.006373425796263848,0.0,f1,-0.561002469957246,-1,less_likely_zero (more teleworkable)
2.B.1.d,2.B.1.d,Negotiation,0.006361759352989915,0.0,f1,-0.5577764785931958,-1,less_likely_zero (more teleworkable)
1.A.1.g.2,1.A.1.g.2,Time Sharing,0.005576120726044016,0.0,f1,0.06695275175641574,1,more_likely_zero (less teleworkable)
4.A.4.a.5,4.A.4.a.5,Assisting and Caring for Others,0.005498456303013773,0.0,f1,0.228680351386578,1,more_likely_zero (less teleworkable)
1.A.3.c.4,1.A.3.c.4,Gross Body Equilibrium,0.0054119335606144965,0.0,f1,0.7690122555727124,1,more_likely_zero (less teleworkable)
4.A.1.a.1,4.A.1.a.1,Getting Information,0.0053629751382261856,0.0,f1,-0.42538335308343833,-1,less_likely_zero (more teleworkable)
2.A.1.e,2.A.1.e,Mathematics,0.005038300843983006,0.0,f1,-0.39950543627550456,-1,less_likely_zero (more teleworkable)
4.A.3.b.4,4.A.3.b.4,Repairing and Maintaining Mechanical Equipment,0.004712478750008201,0.0,f1,0.6415499479808348,1,more_likely_zero (less teleworkable)
4.A.4.a.3,4.A.4.a.3,Communicating with People Outside the Organization,0.004631371448539535,0.0,f1,-0.5759262295150199,-1,less_likely_zero (more teleworkable)
