feature,element_id,element_name,mdi_importance,permutation_importance,permutation_metric,corr_with_pred_share,direction_sign,direction_label
4.A.3.a.2,4.A.3.a.2,Handling and Moving Objects,0.1898814593738723,0.21055672910089718,r2,-0.6475110538423969,-1,decreases_teleworkability
4.A.3.a.3,4.A.3.a.3,Controlling Machines and Processes,0.07903193865144796,0.05674147699733619,r2,-0.5762925528714659,-1,decreases_teleworkability
4.A.4.a.5,4.A.4.a.5,Assisting and Caring for Others,0.06071218915868176,0.07300126737480106,r2,-0.4309098632144967,-1,decreases_teleworkability
4.A.3.b.1,4.A.3.b.1,Working with Computers,0.0430938731574979,0.031674458624522076,r2,0.42517992575273234,1,increases_teleworkability
4.A.3.a.1,4.A.3.a.1,Performing General Physical Activities,0.041050306038976234,0.01663343365175768,r2,-0.6311326470247101,-1,decreases_teleworkability
1.A.2.b.2,1.A.2.b.2,Multilimb Coordination,0.02193084158920018,0.00877211795777666,r2,-0.5833583003817852,-1,decreases_teleworkability
1.A.2.b.3,1.A.2.b.3,Response Orientation,0.02178294384231414,0.013407334437012152,r2,-0.5440717782507536,-1,decreases_teleworkability
1.A.3.b.1,1.A.3.b.1,Stamina,0.021524167330043344,0.006687627394315743,r2,-0.5913979515304357,-1,decreases_teleworkability
1.A.4.b.1,1.A.4.b.1,Hearing Sensitivity,0.018716054903232634,0.013358598408240007,r2,-0.3786193255751276,-1,decreases_teleworkability
1.A.3.c.3,1.A.3.c.3,Gross Body Coordination,0.018239558119039746,0.00673020918303735,r2,-0.5845186328183212,-1,decreases_teleworkability
4.A.2.b.2,4.A.2.b.2,Thinking Creatively,0.017375248954115463,0.017415359748281612,r2,0.28915149520640065,1,increases_teleworkability
4.A.4.b.3,4.A.4.b.3,Training and Teaching Others,0.017251199450311817,0.017168142165212175,r2,-0.06806086508712844,-1,decreases_teleworkability
4.A.4.a.3,4.A.4.a.3,Communicating with People Outside the Organization,0.016259297052416726,0.016620263352005126,r2,0.2620943525753219,1,increases_teleworkability
4.A.1.a.1,4.A.1.a.1,Getting Information,0.01598854285490455,0.011674742436166063,r2,0.2690825019172528,1,increases_teleworkability
1.A.3.a.2,1.A.3.a.2,Explosive Strength,0.015384964917576812,0.008523354693165997,r2,-0.5131654114488582,-1,decreases_teleworkability
2.B.4.g,2.B.4.g,Systems Analysis,0.014708396720562567,0.017365414204570006,r2,0.32516636817017064,1,increases_teleworkability
1.A.3.a.4,1.A.3.a.4,Trunk Strength,0.011929104574767977,0.0064137185725832825,r2,-0.4313158618735302,-1,decreases_teleworkability
4.A.2.a.2,4.A.2.a.2,Processing Information,0.011515037487891962,0.007575751907072714,r2,0.24081566391876985,1,increases_teleworkability
2.B.3.e,2.B.3.e,Programming,0.010490153891498186,0.01107945651192952,r2,0.36792029041587254,1,increases_teleworkability
4.A.4.c.2,4.A.4.c.2,Staffing Organizational Units,0.010292674754906233,0.009894149329052115,r2,0.13125988368532157,1,increases_teleworkability
4.A.2.b.3,4.A.2.b.3,Updating and Using Relevant Knowledge,0.010073256823852865,0.00844749851929254,r2,0.25254275647665025,1,increases_teleworkability
4.A.2.b.6,4.A.2.b.6,"Organizing, Planning, and Prioritizing Work",0.009426048929987434,0.008789893639350422,r2,0.2522661821977789,1,increases_teleworkability
2.B.1.a,2.B.1.a,Social Perceptiveness,0.00934770618218163,0.007233653848877575,r2,-0.0424736274431044,-1,decreases_teleworkability
1.A.2.b.1,1.A.2.b.1,Control Precision,0.00906622502829835,0.0020323502808633044,r2,-0.4236566754982441,-1,decreases_teleworkability
1.A.2.b.4,1.A.2.b.4,Rate Control,0.008752041551506853,0.002835493567886771,r2,-0.4973854883468959,-1,decreases_teleworkability
1.A.2.a.3,1.A.2.a.3,Finger Dexterity,0.00808934398093282,0.004416235088136966,r2,-0.36703013892985525,-1,decreases_teleworkability
4.A.4.b.6,4.A.4.b.6,Providing Consultation and Advice to Others,0.007402849256410521,0.004916532450968414,r2,0.23777068712515523,1,increases_teleworkability
4.A.3.b.2,4.A.3.b.2,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment",0.007294090166382844,0.0077983226990587014,r2,-0.08080240661240866,-1,decreases_teleworkability
4.A.1.b.1,4.A.1.b.1,"Identifying Objects, Actions, and Events",0.0072910988684410675,0.0048763200335873004,r2,-0.030773258904968133,-1,decreases_teleworkability
4.A.4.a.1,4.A.4.a.1,Interpreting the Meaning of Information for Others,0.007143874199494506,0.004145701637329113,r2,0.2307002543308781,1,increases_teleworkability
1.A.2.c.2,1.A.2.c.2,Wrist-Finger Speed,0.007057316867616614,0.005136726170131767,r2,-0.28024653076582834,-1,decreases_teleworkability
4.A.4.a.2,4.A.4.a.2,"Communicating with Supervisors, Peers, or Subordinates",0.006822872612762839,0.005648830486099599,r2,0.07441641263587224,1,increases_teleworkability
4.A.1.b.3,4.A.1.b.3,"Estimating the Quantifiable Characteristics of Products, Events, or Information",0.006352555502833543,0.003982167528084157,r2,0.11953041553977188,1,increases_teleworkability
